,mean,se_mean,spearmanr,se_estimate
p1agree,-0.8160919540229885,0.18536355846480612,0.18268744833238051,0.3835373550720733
p2agree,1.1411764705882352,0.17594998448055085,0.0005175177845269197,0.3777322874006737
p3agree,1.1927710843373494,0.16285764854793458,-0.02020775919610542,0.350762389810656
p4agree,0.9523809523809523,0.19866836935387086,-0.3055312418328024,0.4112914441921989
p5agree,1.308641975308642,0.15774874280405768,0.02557572648527664,0.34402161421381194
p6agree,-0.2289156626506024,0.1850131418358839,-0.10049410249577426,0.3970812765472111
p7agree,0.8888888888888888,0.21252557102111277,0.06119661612719106,0.45419055289207005
p8agree,0.35365853658536583,0.19722729154747465,-0.1030132815735103,0.42555976328996964
p9agree,0.6219512195121951,0.19061143548223133,0.07786764663440883,0.4025528475698898
p10agree,-0.19230769230769232,0.22505918461935615,-0.356057495930366,0.45877654842038823
p11agree,0.524390243902439,0.21010723774668086,0.24937404004028263,0.4402858705330456
p12agree,0.1566265060240964,0.19048051063401514,-0.035767170896762096,0.42276650290546913
p13agree,1.5121951219512195,0.1601166765653037,-0.2751581232862995,0.33868815415289444
p14agree,-0.0759493670886076,0.2437653934761073,0.24850331137665627,0.5230815150657953
p15agree,0.3132530120481928,0.21081468536900544,-0.3810986711435231,0.41759797969536233
p16agree,-0.47619047619047616,0.17670830105798221,-0.16111388500631751,0.37535759455875145
p17agree,-0.6506024096385542,0.2070430392947631,0.23316074008657914,0.42952099386565185
p18agree,-1.240506329113924,0.19826397653210234,0.1895814362597583,0.4211878590182741
p19agree,-0.14942528735632185,0.2147443473066347,-0.29525484082577264,0.4349078430774149
p20agree,1.975609756097561,0.12239121331496013,-0.23022476736534767,0.2639765045459408
p21agree,1.7375,0.17457510145889282,0.008579167748701957,0.3792725825563429
p22agree,1.5662650602409638,0.15815267745871425,0.1602723245989848,0.3320031273583349
p23agree,2.0,0.1560996111705437,0.0971978286632547,0.332572564197798
p24agree,2.364705882352941,0.12361081286462429,0.0029729013648386034,0.25938406880376813
p25agree,2.5180722891566263,0.1140721829922857,0.146719426225197,0.22641901774534914
p26agree,0.43373493975903615,0.19620084307073912,-0.1481099620696719,0.4223485469697151
p27agree,-0.9512195121951219,0.19836418821931498,-0.09726244465865144,0.4260749795752186
p28agree,-0.5555555555555556,0.23345589760739047,-0.16727814605632718,0.5128647371508931
p29agree,-0.024691358024691357,0.20748948061404193,-0.02442563685546187,0.44842625614949305
p31agree,-1.5185185185185186,0.21331125048810023,0.0661274951681193,0.4497776595829039
p32agree,1.3409090909090908,0.18900197779091446,0.44659269786732336,0.36783920642096735
p33agree,0.963855421686747,0.17392055671913034,0.053494476639090745,0.36914938713513074
p34agree,0.27380952380952384,0.2038503257673617,0.44435911618126145,0.3993465450162629
p35agree,1.2195121951219512,0.2113613920236451,-0.34947495077678814,0.41966725130704935
p36agree,0.5060240963855421,0.19338864075455053,-0.06767878436341011,0.4097328550182874
p37agree,0.8571428571428571,0.169975164723112,0.017443687528130726,0.3639869543367615
p38agree,0.2222222222222222,0.2082316825181415,-0.09931110511002543,0.45236222678875576
p39agree,-1.3253012048192772,0.17772421354451715,0.008155972862086788,0.37948769708332114
p40agree,-0.7108433734939759,0.2243944618140291,-0.15885028030370008,0.4699359688325702
p41agree,2.3132530120481927,0.11352550804245552,-0.07082539765335702,0.2398330181337848
p42agree,1.1375,0.17894042563357765,-0.19438571448837244,0.38700512717469926
p43agree,-0.14814814814814814,0.15819585731503336,-0.013801670905865721,0.338697420777328
p44agree,-0.575,0.22206591725192382,-0.21733750539243504,0.4670711579463423
p45agree,0.4878048780487805,0.19713187547041652,0.04611126673155883,0.43579809014845305
c1agree,-0.37662337662337664,0.20076357820079904,0.1380363171263005,0.43844078601102776
c2agree,-0.19480519480519481,0.16427416416459112,0.31989851178335504,0.3293753632952166
c3agree,0.4230769230769231,0.20103531993205886,0.16460984688315572,0.43111769232351393
c4agree,1.3205128205128205,0.1910812345993986,0.0006220718143272559,0.41326141470708994
c5agree,-0.4675324675324675,0.22018096845383625,0.4727592090177121,0.4195404198336063
c6agree,1.8658536585365855,0.11596380306331962,-0.23662599912596127,0.23534048872128419
c7agree,0.25675675675675674,0.19364759560390907,0.37373763698028445,0.38570869472486324
c8agree,0.8961038961038961,0.15222231623925564,0.1684178256967993,0.3249600673388833
c9agree,-1.123456790123457,0.14864915785735927,0.23724895059792075,0.3102660816343302
c10agree,-0.38666666666666666,0.1695125450342146,0.04483664972293281,0.3570885918098742
c11agree,1.7777777777777777,0.1542336398388313,0.0011864761041237115,0.3363901818373564
c12agree,-0.7375,0.18404219021131482,-0.0819749490910204,0.30141519379245324
c13agree,-0.4177215189873418,0.18960952125247138,0.2838858520552253,0.3817089215232231
c14agree,-0.7088607594936709,0.17169289142684904,0.051135866345877655,0.36612281559225207
c15agree,-0.3116883116883117,0.21611695956827104,0.17796842165381335,0.4545844432046238
c16agree,-0.6625,0.1842098156256596,0.2063990542734992,0.3772021758705555
c17agree,0.0625,0.15147805732795708,0.0931584500399135,0.3212897639512388
c18agree,-0.05,0.18079044550303308,0.05018104445874073,0.38904215798651975
c19agree,0.11392405063291139,0.18314010491741559,-0.18669572033953336,0.40415430497658295
c20agree,-0.7792207792207793,0.18122256277075904,0.12750035574925675,0.38270219648365716
c21agree,-1.4675324675324675,0.19787786522312173,0.36685238621296157,0.41444043533176594
c22agree,0.7710843373493976,0.14403944327050222,-0.16040962017307825,0.3016563148852797
c23agree,-0.11538461538461539,0.1989756053859649,-0.12201553666317169,0.4199745849299821
c24agree,1.45,0.14261664058881596,-0.059106632034331745,0.3013038118500332
c25agree,-0.4567901234567901,0.17269964660119796,0.11511497671833558,0.3743223514285399
c26agree,-0.02564102564102564,0.18370343479457815,0.13682530058904466,0.3940579259690091
c27agree,-0.717948717948718,0.16501692682882904,0.19678142900249473,0.3484446801295114
c28agree,0.47560975609756095,0.19335539575435245,0.10933963926116405,0.4063531515733046
c29agree,2.3333333333333335,0.09182154117125971,0.09656224180085853,0.19805271744494235
c30agree,-0.0125,0.19758866582928666,-0.03837316476034853,0.4256912666160375
c31agree,0.15384615384615385,0.2250730510550688,0.35764033419725794,0.4521653765719691
c32agree,-0.24050632911392406,0.17808331668480712,0.23861894404234843,0.37722662074172286
c33agree,0.5128205128205128,0.18349945830663425,0.00382783056464941,0.41025142687349464
c34agree,0.10126582278481013,0.20790922488899632,0.23613599387623294,0.4381393816907325
c35agree,0.0,0.19570195065232973,0.03602549954503812,0.42733828056147627
c36agree,0.7901234567901234,0.1643617031483416,0.22091415086612626,0.3468335875109204
c37agree,-0.4666666666666667,0.19133266091941262,-0.2972847883006958,0.4007913256639221
c38agree,1.9615384615384615,0.12409007691984603,0.17118920940094498,0.26633235980591663
c39agree,0.25925925925925924,0.17419991991415004,-0.008506137427157593,0.37314457478380036
c40agree,-0.9113924050632911,0.20760072545186276,0.2732012529574097,0.43691930342255814
c41agree,-0.6,0.19531550923607716,-0.05267827683062545,0.42076822777272943
c42agree,0.0,0.2088613023588707,-0.05964425714402883,0.4540532860664827
c43agree,-0.5625,0.21433485253767218,-0.1847309109085572,0.45944566552703703
c44agree,0.189873417721519,0.17527189489899325,0.005358665815071682,0.37662351872671923
c45agree,1.075,0.1719307569493754,0.13987164498658197,0.3685908355099779
c46agree,-0.38961038961038963,0.1807925020287757,-0.04035716368005065,0.3896648982660306
